year,country,country_id,artist,song,language,final_place,final_points,final_points_tele,final_points_jury,final_running,which_semifinal,semifinal_place,semifinal_points,semifinal_points_tele,semifinal_points_jury,semifinal_running
1956,Netherlands,nl,Jetty Paerl,De vogels van Holland,Dutch,,,,,1.0,No Semifinal,,,,,
1956,Switzerland,ch,Lys Assia,Das alte Karussell,German,,,,,2.0,No Semifinal,,,,,
1956,Belgium,be,Fud Leclerc,Messieurs les noyés de la Seine,French,,,,,3.0,No Semifinal,,,,,
1956,Germany,de,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,,,,,4.0,No Semifinal,,,,,
1956,France,fr,Mathé Altéry,Le Temps perdu,French,,,,,5.0,No Semifinal,,,,,
1956,Luxembourg,lu,Michèle Arnaud,Ne crois pas,French,,,,,6.0,No Semifinal,,,,,
1956,Italy,it,Franca Raimondi,Aprite le finestre,Italian,,,,,7.0,No Semifinal,,,,,
1956,Netherlands,nl,Corry Brokken,Voorgoed voorbij,Dutch,,,,,8.0,No Semifinal,,,,,
1956,Switzerland,ch,Lys Assia,Refrain,French,,,,,9.0,No Semifinal,,,,,
1956,Belgium,be,Mony Marc,Le Plus beau jour de ma vie,French,,,,,10.0,No Semifinal,,,,,
1956,Germany,de,Freddy Quinn,So geht das jede Nacht,German,,,,,11.0,No Semifinal,,,,,
1956,France,fr,Dany Dauberson,Il est là,French,,,,,12.0,No Semifinal,,,,,
1956,Luxembourg,lu,Michèle Arnaud,Les Amants de minuit,French,,,,,13.0,No Semifinal,,,,,
1956,Italy,it,Tonina Torrielli,Amami se vuoi,Italian,,,,,14.0,No Semifinal,,,,,
1957,Austria,at,Bob Martin,"Wohin, kleines Pony?",German,10,3,,,5.0,No Semifinal,,,,,
1957,Belgium,be,Bobbejaan Schoepen,Straatdeuntje,Dutch,8,5,,,1.0,No Semifinal,,,,,
1957,Denmark,dk,Birthe Wilke & Gustav Winckler,Skibet skal sejle i nat,Danish,3,10,,,9.0,No Semifinal,,,,,
1957,France,fr,Paule Desjardins,La belle amour,French,2,17,,,8.0,No Semifinal,,,,,
1957,Germany,de,Margot Hielscher,"Telefon, Telefon",German,4,8,,,7.0,No Semifinal,,,,,
1957,Italy,it,Nunzio Gallo,Corde della mia chitarra,Italian,6,7,,,4.0,No Semifinal,,,,,
1957,Luxembourg,lu,Danièle Dupré,Amours mortes (tant de peine),French,4,8,,,2.0,No Semifinal,,,,,
1957,Netherlands,nl,Corry Brokken,Net als toen,Dutch,1,31,,,6.0,No Semifinal,,,,,
1957,Switzerland,ch,Lys Assia,L'enfant que j'étais,French,8,5,,,10.0,No Semifinal,,,,,
1957,United Kingdom,gb,Patricia Bredin,All,English,7,6,,,3.0,No Semifinal,,,,,
1958,Austria,at,Liane Augustin,Die ganze Welt braucht Liebe,German,5,8,,,9.0,No Semifinal,,,,,
1958,Belgium,be,Fud Leclerc,Ma petite chatte,French,5,8,,,7.0,No Semifinal,,,,,
1958,Denmark,dk,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,8,3,,,6.0,No Semifinal,,,,,
1958,France,fr,André Claveau,"Dors, mon amour",French,1,27,,,3.0,No Semifinal,,,,,
